grid_case,C_svm_init,tau,lambda_hinge,goal_monthly,split,train_feas_pct,val_feas_pct,nn_mean_ret,nn_vol,nn_sharpe,svm_mean_ret,svm_vol,svm_sharpe
A,0.01,0.01,0.001,0.005,test,100.0,100.0,0.013076289527461711,0.025212189235061723,0.5186495073882087,0.010675203546490578,0.024667623694404534,0.43276173166527265
A,0.01,0.01,0.001,0.005,train,100.0,100.0,0.012982678967277235,0.025340350934105298,0.512332248299358,0.011546075499815324,0.025861193935489246,0.4464633585042728
A,0.01,0.01,0.001,0.005,val,100.0,100.0,0.011740401755814193,0.030331303907151413,0.38707210845159246,0.008838089477201784,0.028135322372881952,0.314127890903649
AC,1.0,0.05,0.001,0.005,test,100.0,100.0,0.016744688535652377,0.02677399795014209,0.6254085985293841,0.010675203546490578,0.024667623694404534,0.43276173166527265
AC,1.0,0.05,0.001,0.005,train,100.0,100.0,0.015703593720846707,0.026776488664436795,0.5864694925857464,0.011546075499815324,0.025861193935489246,0.4464633585042728
AC,1.0,0.05,0.001,0.005,val,100.0,100.0,0.012022561923350529,0.03169486348872188,0.3793220919613441,0.008838089477201784,0.028135322372881952,0.314127890903649
AG,1.0,0.1,0.001,0.005,test,100.0,100.0,0.01367502586627184,0.02517889252752675,0.5431146683984828,0.010675203546490578,0.024667623694404534,0.43276173166527265
AG,1.0,0.1,0.001,0.005,train,100.0,100.0,0.013173633731566438,0.025907360581753153,0.50848999802536,0.011546075499815324,0.025861193935489246,0.4464633585042728
AG,1.0,0.1,0.001,0.005,val,100.0,100.0,0.00877308029169374,0.028752585466781624,0.3051231793232756,0.008838089477201784,0.028135322372881952,0.314127890903649
E,0.01,0.05,0.001,0.005,test,100.0,100.0,0.011598408170966528,0.02463837947424328,0.4707455773469455,0.010675203546490578,0.024667623694404534,0.43276173166527265
E,0.01,0.05,0.001,0.005,train,100.0,100.0,0.011979127763178466,0.025799889418060204,0.46430926771060643,0.011546075499815324,0.025861193935489246,0.4464633585042728
E,0.01,0.05,0.001,0.005,val,100.0,100.0,0.01052404984433433,0.02885611184213391,0.36470782694302756,0.008838089477201784,0.028135322372881952,0.314127890903649
I,0.01,0.1,0.001,0.005,test,100.0,100.0,0.011597123445478781,0.02466359928525508,0.47021212560576303,0.010675203546490578,0.024667623694404534,0.43276173166527265
I,0.01,0.1,0.001,0.005,train,100.0,100.0,0.011812155942302012,0.025851479660241115,0.4569237852954262,0.011546075499815324,0.025861193935489246,0.4464633585042728
I,0.01,0.1,0.001,0.005,val,100.0,100.0,0.009041225483314127,0.028138131573647005,0.3213157724893306,0.008838089477201784,0.028135322372881952,0.314127890903649
M,0.1,0.01,0.001,0.005,test,100.0,100.0,0.018895267612729152,0.028488297811025978,0.6632641843821484,0.010675203546490578,0.024667623694404534,0.43276173166527265
M,0.1,0.01,0.001,0.005,train,100.0,100.0,0.015662705224476818,0.026942972398875435,0.5813280358238883,0.011546075499815324,0.025861193935489246,0.4464633585042728
M,0.1,0.01,0.001,0.005,val,100.0,100.0,0.012676340587233532,0.031446594670520106,0.40310694113769896,0.008838089477201784,0.028135322372881952,0.314127890903649
Q,0.1,0.05,0.001,0.005,test,100.0,100.0,0.01460526189485298,0.025878047041725884,0.5643881035821211,0.010675203546490578,0.024667623694404534,0.43276173166527265
Q,0.1,0.05,0.001,0.005,train,100.0,100.0,0.013524840606488153,0.02548259989520033,0.5307480658009633,0.011546075499815324,0.025861193935489246,0.4464633585042728
Q,0.1,0.05,0.001,0.005,val,100.0,100.0,0.01033718046168513,0.028841460578070514,0.35841390325379535,0.008838089477201784,0.028135322372881952,0.314127890903649
U,0.1,0.1,0.001,0.005,test,100.0,100.0,0.012682910209354819,0.02485704681281114,0.5102339913648917,0.010675203546490578,0.024667623694404534,0.43276173166527265
U,0.1,0.1,0.001,0.005,train,100.0,100.0,0.012163208084850724,0.025738824357481788,0.472562690332923,0.011546075499815324,0.025861193935489246,0.4464633585042728
U,0.1,0.1,0.001,0.005,val,100.0,100.0,0.008263272329782615,0.028625036782829114,0.2886728982109365,0.008838089477201784,0.028135322372881952,0.314127890903649
Y,1.0,0.01,0.001,0.005,test,100.0,100.0,0.01824130221753588,0.030707416999299755,0.5940357086158635,0.010675203546490578,0.024667623694404534,0.43276173166527265
Y,1.0,0.01,0.001,0.005,train,100.0,100.0,0.01641970447264844,0.0282669909390914,0.5808791076293934,0.011546075499815324,0.025861193935489246,0.4464633585042728
Y,1.0,0.01,0.001,0.005,val,100.0,100.0,0.01576867908249088,0.031169900421020868,0.505894432416943,0.008838089477201784,0.028135322372881952,0.314127890903649
A,0.01,0.01,0.001,0.006500000000000001,test,100.0,100.0,0.014218428649060422,0.025455848695401302,0.5585525282867698,0.012096578624363731,0.025023236758615015,0.483413826139646
A,0.01,0.01,0.001,0.006500000000000001,train,100.0,100.0,0.014079519255853505,0.02536574484843052,0.5550603516446552,0.012666446306193669,0.025942239728854885,0.48825569565671895
A,0.01,0.01,0.001,0.006500000000000001,val,100.0,100.0,0.01239824944850233,0.030247428521288623,0.4098943300044945,0.00978585099819604,0.02835532032769281,0.3451151630367482
AC,1.0,0.05,0.001,0.006500000000000001,test,100.0,100.0,0.018024214430606523,0.027033624088554368,0.6667331901522953,0.012096578624363731,0.025023236758615015,0.483413826139646
AC,1.0,0.05,0.001,0.006500000000000001,train,100.0,100.0,0.016617419358277864,0.026692292075100578,0.6225549799508064,0.012666446306193669,0.025942239728854885,0.48825569565671895
AC,1.0,0.05,0.001,0.006500000000000001,val,100.0,100.0,0.012754730563056387,0.031666075914455014,0.40278847928963896,0.00978585099819604,0.02835532032769281,0.3451151630367482
