,date,ticker,pe_exi,de_ratio,close_price,exp_ret,vol,mom,Mkt-RF,SMB,HML,RMW,CMA,RF,ret_excess
0,2003-03-31,AAP,22.23557692307692,3.196006883652606,13.071248054504395,-0.006887625330813468,0.10491437980445815,-0.12901807096740714,1.09,0.66,-1.94,1.86,-0.78,0.001,-0.00788762533081347
1,2003-04-30,AAP,23.91346153846154,3.196006883652606,14.057592391967773,0.006321064944824882,0.11862162125467961,0.0054348894536340175,8.22,1.01,1.15,-4.67,1.07,0.001,0.005321064944824882
2,2003-05-31,AAP,13.396396396396396,3.412518060389043,16.81033706665039,-0.011303756834340845,0.08370833438377306,-0.15979777856006772,6.05,4.82,0.39,-7.01,2.9,0.0009,-0.012203756834340844
3,2003-06-30,AAP,13.716216216216218,3.412518060389043,17.21164894104004,0.006985274958030622,0.10260760487322836,0.029066554482873874,1.42,1.66,0.11,0.5,-0.39,0.001,0.005985274958030622
4,2003-07-31,AAP,15.29954954954955,3.412518060389043,19.198484420776367,0.013718030103417331,0.10066544822636825,0.11722604248953838,2.35,4.54,-1.24,-4.14,1.78,0.0007000000000000001,0.01301803010341733
5,2003-08-31,AAP,11.31060606060606,3.119732721481888,21.097698211669922,0.02983494423185575,0.10013264608276332,0.351572255556174,2.34,2.48,1.53,-2.25,2.14,0.0007000000000000001,0.02913494423185575
6,2003-09-30,AAP,10.742424242424242,3.119732721481888,20.037872314453125,0.034779194095179856,0.10210372944876804,0.42870824922929973,-1.24,0.54,0.17,1.01,0.35,0.0008,0.033979194095179854
7,2003-10-31,AAP,11.851515151515152,3.119732721481888,22.106664657592773,0.029811477328567686,0.10486477226554693,0.34433056231502546,6.08,2.71,1.97,-1.35,1.55,0.0007000000000000001,0.029111477328567687
8,2003-11-30,AAP,10.076543209876542,2.807595012920687,23.067569732666016,0.03713532569061514,0.10681445550981135,0.4606915760056207,1.35,2.33,1.78,0.19,1.81,0.0007000000000000001,0.03643532569061514
9,2003-12-31,AAP,10.049382716049383,2.807595012920687,23.005388259887695,0.0438699364837404,0.10420721642317271,0.5833177596552168,4.29,-2.49,1.6,0.56,0.94,0.0008,0.0430699364837404
10,2004-01-31,AAP,9.609876543209877,2.807595012920687,21.999265670776367,0.047929131867455926,0.10105970877756199,0.6646211951206789,2.15,2.45,2.49,-3.66,3.38,0.0007000000000000001,0.04722913186745593
11,2004-02-29,AAP,23.48214285714286,2.1415284739340095,22.298845291137695,0.053231464563479665,0.09356237807336126,0.7832768307074958,1.4,-0.92,0.88,2.16,-1.23,0.0006,0.05263146456347966
12,2004-03-31,AAP,24.208333333333336,2.1415284739340095,22.988435745239258,0.06320551905780745,0.08050483641164728,1.0220407482733291,-1.32,2.1,0.27,1.56,-0.98,0.0009,0.06230551905780746
13,2004-04-30,AAP,25.68452380952381,2.1415284739340095,24.390239715576172,0.050341772053513256,0.07099490532554656,0.7587024321918034,-1.83,-2.02,-3.07,3.47,-2.81,0.0008,0.049541772053513254
14,2004-05-31,AAP,12.480349344978166,2.2784255788923047,24.231971740722656,0.049135070349855293,0.0706514061539904,0.7350225440817495,1.17,-0.38,-0.25,-1.18,0.03,0.0006,0.04853507034985529
