gvkey,permno,adate,qdate,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TICKER,cusip
012141,10107,2014-06-30,2014-09-30,2015-01-31,16.309,0.243,10.840,14.853,15.019,15.843,15.843,3.637,10.236,0.434,0.235,0.371,0.309,0.731,0.300,0.297,0.217,0.242,0.263,0.207,0.249,0.206,0.249,0.343,0.236,0.409,0.814,0.186,0.213,0.186,0.032,0.028,1.161,0.021,0.140,0.141,0.680,0.125,0.528,0.269,0.857,0.820,0.390,0.829,6.035,0.222,0.459,0.248,0.849,34.391,43.991,2.198,2.743,2.802,6.673,10.529,0.559,5.887,4.143,0.842,1.034,1.281,0.128,0.027,0.000,-0.069,3.568,6.360,3.07%,MSFT,59491810
012141,10107,2014-06-30,2014-12-31,2015-02-28,17.511,0.248,11.303,16.181,16.362,17.681,17.681,3.865,11.135,0.459,0.222,0.367,0.303,0.720,0.293,0.286,0.210,0.228,0.254,0.207,0.235,0.193,0.235,0.338,0.229,0.398,0.822,0.178,0.223,0.178,0.034,0.027,1.127,0.022,0.137,0.145,0.713,0.198,0.547,0.249,0.796,0.753,0.390,0.836,6.078,0.211,0.466,0.255,0.873,31.997,42.285,2.060,2.577,2.634,5.105,10.671,0.553,5.994,4.127,0.851,1.036,1.328,0.127,0.027,0.000,-0.070,3.799,8.345,2.83%,MSFT,59491810
012141,10107,2014-06-30,2014-12-31,2015-03-31,16.056,0.248,11.303,15.002,15.170,16.393,16.393,3.544,10.209,0.459,0.222,0.367,0.303,0.720,0.293,0.286,0.210,0.228,0.254,0.207,0.235,0.193,0.235,0.338,0.229,0.398,0.822,0.178,0.223,0.178,0.034,0.027,1.127,0.022,0.137,0.145,0.713,0.198,0.547,0.249,0.796,0.753,0.390,0.836,6.078,0.211,0.466,0.255,0.873,31.997,42.285,2.060,2.577,2.634,5.105,10.671,0.553,5.994,4.127,0.851,1.036,1.328,0.127,0.027,0.000,-0.070,3.483,7.737,3.05%,MSFT,59491810
012141,10107,2014-06-30,2014-12-31,2015-04-30,19.154,0.248,11.303,17.948,18.149,19.613,19.613,4.228,12.179,0.459,0.222,0.367,0.303,0.720,0.293,0.286,0.210,0.228,0.254,0.207,0.235,0.193,0.235,0.338,0.229,0.398,0.822,0.178,0.223,0.178,0.034,0.027,1.127,0.022,0.137,0.145,0.713,0.198,0.547,0.249,0.796,0.753,0.390,0.836,6.078,0.211,0.466,0.255,0.873,31.997,42.285,2.060,2.577,2.634,5.105,10.671,0.553,5.994,4.127,0.851,1.036,1.328,0.127,0.027,0.000,-0.070,4.155,9.257,2.55%,MSFT,59491810
012141,10107,2014-06-30,2015-03-31,2015-05-31,18.332,0.282,11.283,17.617,17.885,19.444,19.444,4.016,11.929,0.485,0.212,0.363,0.297,0.714,0.284,0.278,0.203,0.216,0.245,0.207,0.223,0.185,0.223,0.337,0.222,0.389,0.810,0.190,0.238,0.190,0.033,0.026,1.087,0.022,0.132,0.154,0.778,0.202,0.538,0.256,0.767,0.712,0.390,0.827,6.116,0.228,0.478,0.271,0.916,29.450,39.849,2.020,2.528,2.585,16.542,10.461,0.544,6.186,3.960,0.845,1.043,1.334,0.128,0.027,0.000,-0.069,4.074,,2.65%,MSFT,59491810
012141,10107,2014-06-30,2015-03-31,2015-06-30,17.138,0.282,11.283,16.598,16.851,18.320,18.320,3.754,11.152,0.485,0.212,0.363,0.297,0.714,0.284,0.278,0.203,0.216,0.245,0.207,0.223,0.185,0.223,0.337,0.222,0.389,0.810,0.190,0.238,0.190,0.033,0.026,1.087,0.022,0.132,0.154,0.778,0.202,0.538,0.256,0.767,0.712,0.390,0.827,6.116,0.228,0.478,0.271,0.916,29.450,39.849,2.020,2.528,2.585,16.542,10.461,0.544,6.186,3.960,0.845,1.043,1.334,0.128,0.027,0.000,-0.069,3.809,,2.81%,MSFT,59491810
012141,10107,2014-06-30,2015-03-31,2015-07-31,18.062,0.282,11.283,17.556,17.824,19.378,19.378,3.957,11.754,0.485,0.212,0.363,0.297,0.714,0.284,0.278,0.203,0.216,0.245,0.207,0.223,0.185,0.223,0.337,0.222,0.389,0.810,0.190,0.238,0.190,0.033,0.026,1.087,0.022,0.132,0.154,0.778,0.202,0.538,0.256,0.767,0.712,0.390,0.827,6.116,0.228,0.478,0.271,0.916,29.450,39.849,2.020,2.528,2.585,16.542,10.461,0.544,6.186,3.960,0.845,1.043,1.334,0.128,0.027,0.000,-0.069,4.014,,2.66%,MSFT,59491810
012141,10107,2015-06-30,2015-06-30,2015-08-31,18.080,0.234,11.607,16.178,16.300,29.405,29.405,3.720,11.969,0.825,0.130,0.359,0.301,0.705,0.198,0.194,0.193,0.139,0.247,0.341,0.144,0.115,0.144,0.329,0.211,0.374,0.742,0.258,0.327,0.258,0.033,0.028,1.004,0.023,0.144,0.200,1.051,0.212,0.519,0.289,0.673,0.583,0.302,0.796,6.526,0.335,0.546,0.343,1.201,16.128,34.953,1.936,2.443,2.501,17.169,9.938,0.537,4.997,3.976,0.867,1.169,1.250,0.129,0.020,0.000,-0.097,4.198,,2.85%,MSFT,59491810
012141,10107,2015-06-30,2015-06-30,2015-09-30,18.360,0.234,11.607,16.454,16.577,29.905,29.905,3.777,12.155,0.825,0.130,0.359,0.301,0.705,0.198,0.194,0.193,0.139,0.247,0.341,0.144,0.115,0.144,0.329,0.211,0.374,0.742,0.258,0.327,0.258,0.033,0.028,1.004,0.023,0.144,0.200,1.051,0.212,0.519,0.289,0.673,0.583,0.302,0.796,6.526,0.335,0.546,0.343,1.201,16.128,34.953,1.936,2.443,2.501,17.169,9.938,0.537,4.997,3.976,0.867,1.169,1.250,0.129,0.020,0.000,-0.097,4.263,,2.80%,MSFT,59491810
012141,10107,2015-06-30,2015-06-30,2015-10-31,21.841,0.234,11.607,19.569,19.715,35.568,35.568,4.493,14.460,0.825,0.130,0.359,0.301,0.705,0.198,0.194,0.193,0.139,0.247,0.341,0.144,0.115,0.144,0.329,0.211,0.374,0.742,0.258,0.327,0.258,0.033,0.028,1.004,0.023,0.144,0.200,1.051,0.212,0.519,0.289,0.673,0.583,0.302,0.796,6.526,0.335,0.546,0.343,1.201,16.128,34.953,1.936,2.443,2.501,17.169,9.938,0.537,4.997,3.976,0.867,1.169,1.250,0.129,0.020,0.000,-0.097,5.071,,2.36%,MSFT,59491810
