PERMNO,date,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
10107,2019-01-02,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,98.94,101.75,101.12,35347045,-0.00443,101.12,101.13,7683000,1.0,1,99.55,-0.00443,0.001796,0.001791,0.017126,0.017105,0.001269
10107,2019-01-03,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,97.2,100.185,97.4,42570779,-0.036788,97.35,97.38,7683000,1.0,1,100.1,-0.036788,-0.021043,-0.021229,-0.009454,-0.009493,-0.024757
10107,2019-01-04,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,98.93,102.51,101.93,44032862,0.046509,101.93,101.94,7683000,1.0,1,99.72,0.046509,0.03341,0.033409,0.030804,0.03078,0.034336
10107,2019-01-07,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,100.98,103.2681,102.06,35650303,0.001275,102.04,102.06,7683000,1.0,1,101.64,0.001275,0.009202,0.009196,0.016144,0.016133,0.00701
10107,2019-01-08,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,101.7134,103.97,102.8,31531077,0.007251,102.81,102.82,7683000,1.0,1,103.04,0.007251,0.010269,0.010248,0.010358,0.010339,0.009695
10107,2019-01-09,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,103.2445,104.88,104.27,32279340,0.0143,104.29,104.31,7683000,1.0,1,103.86,0.0143,0.006199,0.005958,0.010306,0.010264,0.004098
10107,2019-01-10,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,102.38,103.75,103.6,30055256,-0.006426,103.56,103.6,7683000,1.0,1,103.22,-0.006426,0.004474,0.004468,0.002611,0.002573,0.004518
10107,2019-01-11,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,101.64,103.44,102.8,28277502,-0.007722,102.76,102.78,7683000,1.0,1,103.19,-0.007722,-0.000152,-0.000163,0.001293,0.001246,-0.000146
10107,2019-01-14,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,101.26,102.8716,102.05,28416379,-0.007296,102.04,102.06,7683000,1.0,1,101.9,-0.007296,-0.005465,-0.005554,-0.005852,-0.005991,-0.005258
10107,2019-01-15,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,101.88,105.05,105.01,31572516,0.029005,105.0,105.02,7683000,1.0,1,102.51,0.029005,0.009839,0.009811,0.006546,0.006491,0.010722
10107,2019-01-16,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,104.96,106.255,105.38,29843819,0.003523,105.37,105.38,7683000,1.0,1,105.26,0.003523,0.003177,0.003157,0.004831,0.004808,0.002222
10107,2019-01-17,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,104.76,106.625,106.12,28385667,0.007022,106.14,106.16,7683000,1.0,1,105.0,0.007022,0.007082,0.007014,0.005101,0.005049,0.007591
10107,2019-01-18,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,105.91,107.9,107.71,37412087,0.014983,107.7,107.72,7683000,1.0,1,107.46,0.014983,0.012032,0.012011,0.008534,0.008518,0.013183
10107,2019-01-22,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,104.86,107.1,105.68,32363345,-0.018847,105.82,105.83,7683000,1.0,1,106.75,-0.018847,-0.01415,-0.014182,-0.013514,-0.01357,-0.014157
10107,2019-01-23,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,105.34,107.04,106.71,25902190,0.009746,106.78,106.79,7683000,1.0,1,106.12,0.009746,0.001313,0.00127,-0.000571,-0.000626,0.002203
10107,2019-01-24,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,105.34,107.0,106.2,23161238,-0.004779,106.18,106.19,7683000,1.0,1,106.86,-0.004779,0.002789,0.002762,0.00546,0.005439,0.001376
10107,2019-01-25,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,106.59,107.88,107.17,31212898,0.009134,107.16,107.17,7672213,1.0,1,107.24,0.009134,0.009553,0.00952,0.010818,0.01078,0.008489
10107,2019-01-28,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,104.66,106.48,105.08,29462419,-0.019502,105.08,105.09,7672213,1.0,1,106.26,-0.019502,-0.006493,-0.006493,-0.003899,-0.003906,-0.007847
10107,2019-01-29,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,102.17,104.97,102.94,31450347,-0.020365,102.93,102.95,7672213,1.0,1,104.88,-0.020365,-0.000918,-0.000929,0.000164,0.000143,-0.001456
10107,2019-01-30,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,104.33,106.38,106.38,49469836,0.033417,106.32,106.38,7672213,1.0,1,104.62,0.033417,0.014357,0.014215,0.009789,0.009713,0.015549
10107,2019-01-31,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,103.18,105.22,104.43,55638678,-0.01833,104.41,104.48,7672213,1.0,1,103.8,-0.01833,0.008467,0.008278,0.007008,0.006938,0.008597
10107,2019-02-01,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,102.35,104.0999,102.78,35525014,-0.0158,102.77,102.82,7672213,1.0,1,103.775,-0.0158,0.001418,0.001277,0.00296,0.002824,0.000899
10107,2019-02-04,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,102.77,105.8,105.74,31306982,0.028799,105.78,105.79,7672213,1.0,1,102.87,0.028799,0.006692,0.006647,0.007317,0.007261,0.006776
10107,2019-02-05,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,105.96,107.27,107.22,27311165,0.013997,107.22,107.23,7672213,1.0,1,106.06,0.013997,0.004392,0.004375,0.002633,0.002602,0.004708
