return_goal,grid_case,nn_mean_ret,nn_vol,svm_mean_ret,svm_vol
0.002,O,0.017188,0.022212,0.00878,0.01806
0.0025,P,0.017403,0.02216,0.008992,0.018064
0.003,O,0.017524,0.022185,0.009219,0.018077
0.0035,P,0.017657,0.022166,0.009448,0.0181
0.004,P,0.01784,0.022218,0.009675,0.018145
0.0045,P,0.018097,0.022168,0.010003,0.018133
0.005,P,0.018323,0.02209,0.010437,0.01812
0.0055,P,0.018438,0.02199,0.010916,0.018226
0.006,B,0.016795,0.020496,0.011414,0.018463
0.0065,B,0.017911,0.020653,0.0119,0.018782
0.007,B,0.016677,0.020808,0.012385,0.019132
0.0075,B,0.018374,0.02061,0.012883,0.019545
