return_goal,grid_case,nn_mean_ret,nn_vol,svm_mean_ret,svm_vol,
0.005,M,0.015336,0.025959,0.011546,0.025861,
0.0065,M,0.016553,0.026415,0.012666,0.025942,
0.0075,P,0.018007,0.027919,0.01347,0.02598,
0.009,M,0.017878,0.026233,0.01468,0.02604,
0.0105,P,0.020162,0.028078,0.015941,0.026088,
0.012,M,0.020455,0.026605,0.017263,0.02611,
0.013,C,0.021806,0.028013,0.018169,0.026109,
0.0145,O,0.023529,0.028243,0.019562,0.026087,
0.016,P,0.024771,0.028312,0.020993,0.026079,
0.017,H,0.025114,0.027067,0.021955,0.02608,
0.0185,G,0.026576,0.027177,0.023412,0.02611,
0.02,H,0.028022,0.027359,0.024876,0.026167,
