return_goal,grid_case,nn_mean_ret,nn_vol,svm_mean_ret,svm_vol,
0.002,J,0.013554,0.019514,0.00878,0.01806,
0.0025,V,0.013877,0.019673,0.008992,0.018064,
0.003,J,0.013848,0.019564,0.009219,0.018077,0
0.0035,X,0.014309,0.020068,0.009448,0.0181,
0.004,X,0.014625,0.020198,0.009675,0.018145,
0.0045,L,0.014791,0.02005,0.010003,0.018133,
0.005,V,0.014822,0.01945,0.010437,0.01812,
0.0055,X,0.015337,0.019989,0.010916,0.018226,
0.006,J,0.015649,0.019697,0.011414,0.018463,
0.0065,L,0.016081,0.020049,0.0119,0.018782,
0.007,L,0.01652,0.020135,0.012385,0.019132,
0.0075,J,0.016158,0.019413,0.012883,0.019545,
