return_goal,grid_case,nn_mean_ret,nn_vol,svm_mean_ret,svm_vol
0.005,I,0.010675200035007,0.0246676227335586,0.0106752035464905,0.0246676236944045
0.0065,E,0.0124079642355175,0.0250338936742342,0.0120965786243637,0.025023236758615
0.0075,E,0.013573431027589,0.0252158814567252,0.0131526384488948,0.0252066557410285
0.009,E,0.0149935187026012,0.0255144683774066,0.0147546476578681,0.0254865144255225
0.0105,I,0.0165036857926606,0.0258101084133877,0.0165036944216478,0.0258101157196074
0.012,E,0.0184689698226866,0.0262082116780111,0.0182749593493468,0.0261881423178454
0.013,I,0.0194727700290657,0.0264357898117583,0.0194727645287136,0.0264357971518776
0.0145,E,0.0213308172254508,0.0267693991302555,0.0212005960323197,0.026734469586196
0.016,U,0.0234606741649161,0.0270852008652969,0.0229882496073592,0.0271734916183135
0.017,I,0.0241562395994788,0.0274943896071401,0.0241562616418528,0.0274944001057479
0.0185,I,0.0259068356041161,0.0280092575665782,0.0259068261546765,0.0280092459487809
0.02,U,0.0280912931147941,0.0285795340644884,0.0277817351930458,0.0286741237462552
