return_goal,grid_case,nn_mean_ret,nn_vol,svm_mean_ret,svm_vol,
0.005,H,0.015325,0.026806,0.011546,0.025861,
0.0065,H,0.016293,0.026832,0.012666,0.025942,
0.0075,G,0.017005,0.026777,0.01347,0.02598,
0.009,G,0.018124,0.026898,0.01468,0.02604,
0.0105,G,0.01929,0.026863,0.015941,0.026088,
0.012,H,0.02057,0.027064,0.017263,0.02611,
0.013,G,0.021403,0.026962,0.018169,0.026109,
0.0145,H,0.022775,0.026994,0.019562,0.026087,
0.016,H,0.024215,0.027111,0.020993,0.026079,
0.017,H,0.025114,0.027067,0.021955,0.02608,
0.0185,G,0.026576,0.027177,0.023412,0.02611,
0.02,H,0.028022,0.027359,0.024876,0.026167,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
