grid_case,C_svm_init,tau,lambda_hinge,goal_monthly,split,train_feas_pct,val_feas_pct,nn_mean_ret,nn_vol,nn_sharpe,svm_mean_ret,svm_vol,svm_sharpe
A,0.01,0.01,0.0,0.005,test,100.0,100.0,0.011174363817297072,0.02463420705890477,0.453611670557269,0.010675203546490578,0.024667623694404534,0.43276173166527265
A,0.01,0.01,0.0,0.005,train,100.0,100.0,0.01223296725183563,0.025785514338230377,0.47441238095546745,0.011546075499815324,0.025861193935489246,0.4464633585042728
A,0.01,0.01,0.0,0.005,val,100.0,100.0,0.010592069310370794,0.028902159587654106,0.36648020290251393,0.008838089477201784,0.028135322372881952,0.314127890903649
AA,1.0,0.01,0.1,0.005,test,100.0,100.0,0.017954520987326316,0.03075079529194109,0.5838717605930607,0.010675203546490578,0.024667623694404534,0.43276173166527265
AA,1.0,0.01,0.1,0.005,train,100.0,100.0,0.016553929989392757,0.028006591269549873,0.591072645345452,0.011546075499815324,0.025861193935489246,0.4464633585042728
AA,1.0,0.01,0.1,0.005,val,100.0,100.0,0.01451655639775685,0.032012201786301604,0.453469476864137,0.008838089477201784,0.028135322372881952,0.314127890903649
AB,1.0,0.01,1.0,0.005,test,100.0,100.0,0.017984175905495937,0.030747716693357015,0.5848946796363741,0.010675203546490578,0.024667623694404534,0.43276173166527265
AB,1.0,0.01,1.0,0.005,train,100.0,100.0,0.01656899869357991,0.02796441615572986,0.5925029366147682,0.011546075499815324,0.025861193935489246,0.4464633585042728
AB,1.0,0.01,1.0,0.005,val,100.0,100.0,0.014438515378656388,0.03205701549025626,0.450401110564849,0.008838089477201784,0.028135322372881952,0.314127890903649
AC,1.0,0.05,0.0,0.005,test,100.0,100.0,0.015958175237656223,0.026205443463643088,0.6089641359890481,0.010675203546490578,0.024667623694404534,0.43276173166527265
AC,1.0,0.05,0.0,0.005,train,100.0,100.0,0.015616137950340656,0.026732492719629086,0.5841631797505328,0.011546075499815324,0.025861193935489246,0.4464633585042728
AC,1.0,0.05,0.0,0.005,val,100.0,100.0,0.01188636173251152,0.031624447267499516,0.37585990457298174,0.008838089477201784,0.028135322372881952,0.314127890903649
AD,1.0,0.05,0.01,0.005,test,100.0,100.0,0.016445808316637868,0.02650901976810919,0.6203853805187499,0.010675203546490578,0.024667623694404534,0.43276173166527265
AD,1.0,0.05,0.01,0.005,train,100.0,100.0,0.015685946643860225,0.02642266310979195,0.5936550217549241,0.011546075499815324,0.025861193935489246,0.4464633585042728
AD,1.0,0.05,0.01,0.005,val,100.0,100.0,0.011870332508290721,0.03110876252098028,0.38157520730384537,0.008838089477201784,0.028135322372881952,0.314127890903649
AE,1.0,0.05,0.1,0.005,test,100.0,100.0,0.01644061529054446,0.026504397350325008,0.6202976461837024,0.010675203546490578,0.024667623694404534,0.43276173166527265
AE,1.0,0.05,0.1,0.005,train,100.0,100.0,0.01570429681720425,0.026515279987935143,0.5922734673651447,0.011546075499815324,0.025861193935489246,0.4464633585042728
AE,1.0,0.05,0.1,0.005,val,100.0,100.0,0.01185345451746526,0.031090180982321754,0.38126038969744225,0.008838089477201784,0.028135322372881952,0.314127890903649
AF,1.0,0.05,1.0,0.005,test,100.0,100.0,0.016842766123976345,0.02685497383125624,0.6271749222017875,0.010675203546490578,0.024667623694404534,0.43276173166527265
AF,1.0,0.05,1.0,0.005,train,100.0,100.0,0.015645952710946584,0.02648844478246451,0.5906708694620538,0.011546075499815324,0.025861193935489246,0.4464633585042728
AF,1.0,0.05,1.0,0.005,val,100.0,100.0,0.011298993015090561,0.029830469674126316,0.378773553958222,0.008838089477201784,0.028135322372881952,0.314127890903649
AG,1.0,0.1,0.0,0.005,test,100.0,100.0,0.013395536296915457,0.025000421504729704,0.5358124179564497,0.010675203546490578,0.024667623694404534,0.43276173166527265
AG,1.0,0.1,0.0,0.005,train,100.0,100.0,0.013039039021006288,0.025882563164046437,0.5037769612638322,0.011546075499815324,0.025861193935489246,0.4464633585042728
AG,1.0,0.1,0.0,0.005,val,100.0,100.0,0.008676714987669731,0.028326467015276174,0.3063112312129909,0.008838089477201784,0.028135322372881952,0.314127890903649
AH,1.0,0.1,0.01,0.005,test,100.0,100.0,0.014301026938397177,0.025467710487872868,0.5615356333128358,0.010675203546490578,0.024667623694404534,0.43276173166527265
AH,1.0,0.1,0.01,0.005,train,100.0,100.0,0.014232541949348018,0.025990219229329967,0.5476114619586965,0.011546075499815324,0.025861193935489246,0.4464633585042728
AH,1.0,0.1,0.01,0.005,val,100.0,100.0,0.008854133560351836,0.028937535206327594,0.30597400562677446,0.008838089477201784,0.028135322372881952,0.314127890903649
AI,1.0,0.1,0.1,0.005,test,100.0,100.0,0.01428394825408828,0.025435616629436816,0.5615727136332049,0.010675203546490578,0.024667623694404534,0.43276173166527265
AI,1.0,0.1,0.1,0.005,train,100.0,100.0,0.014357735059016987,0.026077029672453154,0.5505893592487414,0.011546075499815324,0.025861193935489246,0.4464633585042728
AI,1.0,0.1,0.1,0.005,val,100.0,100.0,0.00866931277262391,0.02879849571720991,0.3010335281902282,0.008838089477201784,0.028135322372881952,0.314127890903649
AJ,1.0,0.1,1.0,0.005,test,100.0,100.0,0.014272789316099377,0.02543329681169046,0.5611851826058853,0.010675203546490578,0.024667623694404534,0.43276173166527265
AJ,1.0,0.1,1.0,0.005,train,100.0,100.0,0.01435384590732617,0.026056348648225293,0.5508771048683729,0.011546075499815324,0.025861193935489246,0.4464633585042728
AJ,1.0,0.1,1.0,0.005,val,100.0,100.0,0.008696528020174848,0.02884272623297795,0.3015154652728344,0.008838089477201784,0.028135322372881952,0.314127890903649
B,0.01,0.01,0.01,0.005,test,100.0,100.0,0.01740564343784889,0.027317077161876275,0.6371707827330461,0.010675203546490578,0.024667623694404534,0.43276173166527265
B,0.01,0.01,0.01,0.005,train,100.0,100.0,0.014431028396012017,0.02530846857639922,0.5702055164609646,0.011546075499815324,0.025861193935489246,0.4464633585042728
B,0.01,0.01,0.01,0.005,val,100.0,100.0,0.012616409792525917,0.029995127902911388,0.4206153023565113,0.008838089477201784,0.028135322372881952,0.314127890903649
C,0.01,0.01,0.1,0.005,test,100.0,100.0,0.017921691095065615,0.03049004431287906,0.5877882928135879,0.010675203546490578,0.024667623694404534,0.43276173166527265
C,0.01,0.01,0.1,0.005,train,100.0,100.0,0.016043423699295793,0.02748629244848812,0.5836881685217815,0.011546075499815324,0.025861193935489246,0.4464633585042728
C,0.01,0.01,0.1,0.005,val,100.0,100.0,0.011535516995057617,0.029338164640384114,0.3931915011065735,0.008838089477201784,0.028135322372881952,0.314127890903649
D,0.01,0.01,1.0,0.005,test,100.0,100.0,0.018038517067449227,0.030328537643487787,0.5947704198236452,0.010675203546490578,0.024667623694404534,0.43276173166527265
D,0.01,0.01,1.0,0.005,train,100.0,100.0,0.016152805836998272,0.027580928872965756,0.5856512632627562,0.011546075499815324,0.025861193935489246,0.4464633585042728
D,0.01,0.01,1.0,0.005,val,100.0,100.0,0.011434310198037118,0.02955536297744678,0.3868776778811878,0.008838089477201784,0.028135322372881952,0.314127890903649
E,0.01,0.05,0.0,0.005,test,100.0,100.0,0.011129791731701,0.024657280885026316,0.45137952490164623,0.010675203546490578,0.024667623694404534,0.43276173166527265
E,0.01,0.05,0.0,0.005,train,100.0,100.0,0.011711909829438425,0.025802939557089108,0.45389827787147585,0.011546075499815324,0.025861193935489246,0.4464633585042728
E,0.01,0.05,0.0,0.005,val,100.0,100.0,0.008838103100884774,0.028135320067051574,0.3141284008679426,0.008838089477201784,0.028135322372881952,0.314127890903649
F,0.01,0.05,0.01,0.005,test,100.0,100.0,0.016904230440295907,0.027608086284423083,0.6122927270486418,0.010675203546490578,0.024667623694404534,0.43276173166527265
F,0.01,0.05,0.01,0.005,train,100.0,100.0,0.014659393971644357,0.02585638492465474,0.5669545071283065,0.011546075499815324,0.025861193935489246,0.4464633585042728
F,0.01,0.05,0.01,0.005,val,100.0,100.0,0.009605048664464587,0.028045497431830678,0.34248095215528984,0.008838089477201784,0.028135322372881952,0.314127890903649
G,0.01,0.05,0.1,0.005,test,100.0,100.0,0.01613890164682105,0.026327551517319775,0.6130042756004466,0.010675203546490578,0.024667623694404534,0.43276173166527265
G,0.01,0.05,0.1,0.005,train,100.0,100.0,0.015279378628378668,0.026705158206297,0.5721508372941855,0.011546075499815324,0.025861193935489246,0.4464633585042728
G,0.01,0.05,0.1,0.005,val,100.0,100.0,0.009540647012842943,0.028069415002669018,0.33989475774952427,0.008838089477201784,0.028135322372881952,0.314127890903649
H,0.01,0.05,1.0,0.005,test,100.0,100.0,0.015992923190032,0.02623298174679335,0.6096494612693917,0.010675203546490578,0.024667623694404534,0.43276173166527265
H,0.01,0.05,1.0,0.005,train,100.0,100.0,0.015325222476741401,0.026806297171294548,0.5717023271897722,0.011546075499815324,0.025861193935489246,0.4464633585042728
H,0.01,0.05,1.0,0.005,val,100.0,100.0,0.009424991696705009,0.028029515994919752,0.33625238830656234,0.008838089477201784,0.028135322372881952,0.314127890903649
I,0.01,0.1,0.0,0.005,test,100.0,100.0,0.010675200035007071,0.024667622733558624,0.4327616061701571,0.010675203546490578,0.024667623694404534,0.43276173166527265
I,0.01,0.1,0.0,0.005,train,100.0,100.0,0.011571743415761846,0.025862188449421248,0.44743867820564753,0.011546075499815324,0.025861193935489246,0.4464633585042728
I,0.01,0.1,0.0,0.005,val,100.0,100.0,0.008838095318184117,0.0281353169105007,0.31412815949378636,0.008838089477201784,0.028135322372881952,0.314127890903649
J,0.01,0.1,0.01,0.005,test,100.0,100.0,0.013325522192606722,0.024984874810950148,0.5333435645726424,0.010675203546490578,0.024667623694404534,0.43276173166527265
J,0.01,0.1,0.01,0.005,train,100.0,100.0,0.013332755755721057,0.025674325900488855,0.5193030503265479,0.011546075499815324,0.025861193935489246,0.4464633585042728
