return_goal,grid_case,nn_mean_ret,nn_vol,svm_mean_ret,svm_vol
0.005,I,0.011568883529167,0.0258625920467929,0.0115460754998153,0.0258611939354892
0.0065,E,0.012834513644277,0.0258909966441183,0.0126664463061936,0.0259422397288548
0.0075,E,0.0136063033001468,0.0259390916026578,0.0134700777379753,0.0259798938961861
0.009,U,0.0150404195633554,0.0260902507037155,0.0146803432314573,0.0260396485756278
0.0105,I,0.0159604941213496,0.026091992106024,0.0159414829924393,0.0260876229237211
0.012,U,0.0176797338866603,0.0262202260998537,0.0172632849339566,0.0261100894478021
0.013,U,0.0185233552778465,0.0261629475586903,0.0181689175359887,0.0261085772776515
0.0145,U,0.0199124156134206,0.0261880709995263,0.0195620283228925,0.0260865276284067
0.016,U,0.0213801210381647,0.0261719433296166,0.0209928570278087,0.0260789854891352
0.017,I,0.0219818832069696,0.0260766555422894,0.021954843444251,0.0260798720048211
0.0185,I,0.0234411867266201,0.0261069262161275,0.0234123448104507,0.0261100218588279
0.02,I,0.0249062034385671,0.0261638799418565,0.0248759640241913,0.0261670886988645
